lon,lat,tas_mean,tas_trend_per_decade,tas_trend_p,huss_mean,huss_trend_per_decade,huss_trend_p,rsds_mean,rsds_trend_per_decade,rsds_trend_p,sfcwind_mean,sfcwind_trend_per_decade,sfcwind_trend_p,ps_mean,ps_trend_per_decade,ps_trend_p
117.75,25.25,18.456404,0.08742211081764914,0.8165419646601739,12.231138,0.20104067253343985,0.3223408053485165,156.40515,-0.2506390195904356,0.9782235823995673,1.5522537,-0.01813480348298044,0.7526272171710552,938.4034,-0.2632390802556818,0.48645891399914254
117.75,37.75,13.73444,0.3151398283062559,0.5784124660048672,7.794661,-0.09599997780539772,0.6414365780169523,178.38547,8.005738229462594,0.05286415445644084,3.0949802,0.15727034482088953,0.13264820933929197,1014.1135,-0.13666326349431818,0.6374013436808829
117.75,38.25,13.591738,0.38458413788766577,0.5525569177728734,7.8294272,-0.09179979382139264,0.7177127866867286,178.86557,7.318519361091383,0.06392922139964129,3.4797306,0.19379238648848102,0.09845434464840888,1014.3329,-0.16305634469696967,0.5760353762185019
117.75,39.25,13.379262,0.4515266996441465,0.4572003793153837,7.767239,-0.13075175429835464,0.6034850638431438,176.59918,6.836227879379734,0.04862944218695067,3.2649803,0.18097572615652371,0.09452397759550768,1013.80316,-0.21791770241477273,0.45184017001098614
117.75,39.75,12.996091,0.4474968765721177,0.41356700245175626,7.428099,-0.10679620684999408,0.6573875242995871,174.68185,7.187116218335701,0.04509678725424326,2.5581603,0.1410796714551521,0.09758964926375363,1011.83093,-0.23516660748106058,0.4178218069419815
118.25,24.75,21.598043,0.024410247802734375,0.9505396937449615,13.890165,0.11658310167717209,0.584380767485426,165.32706,2.544873786695076,0.7730511201511749,2.734973,-0.05186130061294093,0.5989641233314447,994.4668,-0.26213674834280304,0.542598299300688
118.25,25.25,20.510328,0.025815674752900093,0.945091603576386,13.554065,0.17191066163958924,0.4285112224088746,157.66466,1.1194226814038828,0.9014543879742387,1.717957,-0.04372114123720111,0.4205492231736131,969.71643,-0.25327370383522724,0.5176438595427849
118.25,25.75,18.46088,0.03898805560487689,0.9126807637644707,12.527499,0.15154520670572916,0.41809581276357677,153.11876,-0.6356358383641099,0.9450355676825241,1.6813614,-0.04238122882265033,0.49926975019834496,931.48047,-0.26411206794507575,0.42237868179328547
118.25,26.25,18.519533,0.04475460630474669,0.8931835729744768,11.863674,0.18619687629468512,0.3778402377162762,152.0818,-2.5041494658499053,0.7858026721127144,1.4959095,-0.026594812219793148,0.6060518975247605,955.2328,-0.26614657315340906,0.4446900665245485
118.25,34.75,15.017388,-0.021664128159031723,0.9605181624735896,9.244355,0.02235886544892282,0.925138637589414,170.52582,0.3718215479995265,0.9344555841960395,2.7985268,0.05791934331258138,0.18535922296030313,1009.1361,-0.2281642104640152,0.5022042988508325
